codbarra,produto,preco
7896279114721,LEAVEIN MURIEL ESCOV. PROG.CASIRA FINALIZADOR,8.35
7896279114653,DEITA CABELO MASCARAMEG. HIDRATANTE,16.31
7896279114707,MASC  INTES. PROGRES. CASEIRA 300 GR,16.08
7896279114714,MASC  INTES. PROGRES. CASEIRA 500 GR,18.01
7896279114660,MASC.MEGA HIDRAT.DEITA CABELO 500 GR,18.35
7891176111064,NEUTROX 230ML,6.25
7896902211407,VASELINA 250GR,4.81
7897000800807,SAB LYSOFORM 90 GRAMAS,2.63
7897947610965,BABYMED AMENDOAS 40GRAMAS,11.13
7896108008849,CALCIO -FORT500+D C/ 70 COMP.,50.28
7896108009778,BIOMASTER,40.4
7898042151148,CIRCULATORIO COMPOSTO C/60 CAPS,23.29
7898257952301,SECA BARRIGA GOJI +ACAI C/ 120 CAPS,32.3
7898852740037,VALERIANA C/ 120 CAPS,25.13
7898483537778,MACA PERUANA PREMIUM C/ 120 CAPS,66.15
7898852740136,CASTANHA DA INDIAC/ 120 CAPS,22.16
7898172354686,COLAGENO GEMAXX 300 C/ 120 CAPS,50.44
8547265494844,SUCUPIRA  C/ 120 CAPS,31.27
7898283812945,FD GER DESCARPACK TAM. EG C/ 8 UNIDADES,11.18
7898283812938,FD GER DESCARPACK TAM. G  C/ 8 UNIDADES,12.01
7898483533244,MALTO DEXTRINA 1 KL LIMAO,30.29
7898172350626,VITAMINA D 3 C/ 60 CAPS,37.02
7898917294130,OSTEO PROCALCIUM D3 C/90 CAPS,39.31
7898937898158,OMEGA 3 C/60 CAPS,31.02
7898483533060,COLECALCIFEROL D 5MCG C/ 60 CAPS,34.1
381519181399,HIDRAT. CAPILAR AUSSIE 236 ML,25.17
381519022876,COND. AUSSIE SMOOTH 400ML,30.23
7898937898455,COLAGENO C/ 60 CAPS,29
7891268400304,ANT LISTER COOL CITRUS 250ML,13.04
7891268400052,ANT LISTER FRESH BURST 250ML,12.09
7891010586461,ANT LISTER ZERO MENTA VERDE 250M,10.34
7898958540012,PASTA INTEGRAL DE AMENDOIN 1 KL,28.42
7898136150224,ALGODAO NATHALYA 50 GRAMAS,4.53
7898136150118,ALGODAO NATHALYA 25 GRAMAS,2.55
7898136150286,ALGODAO NATHY 100 GHRAMAS GRAMAS,6.48
7896523210414,CIMEGRIPE CHA  5 GRAMAS,2.4
7899470805221,UNHAGOLD 30ML,50.22
7896230301078,ARNICA GEL 30G  ADV,21.56
7898277712695,ARNICA CREME 60G ARTE NATIVA,15.09
7898910606022,ARNICA GEL MASSAGEADOR 200 GRAMAS,9.06
4005808719273,DES.NIVEA ROLL-ON STRESS PROTECT,7.47
4005808257621,DES.NIVEA ROLL-ON  SENSITIVE PROTECT,7.6
4005808257720,DES.NIVEA ROLL-ON DOUBLE EFFECT,7.89
4005808719280,DES.NIVEA ROLL-ON STRESS PROTECT,7.88
7891055621028,ESCOV / CABELO CONDOR BLACK COLOR,15.17
7891055695609,ESCOV / CABELO CONDOR BELISSIMA,17.49
7891055696507,ESCOV / CABELO CONDOR SHANA,17.38
7892940000218,DES. PLAYBOY VIP 150ML,8.12
7892940000201,DES. PLAYBOY SEXY 150ML,8.15
7891060906066,ALICATE MUNDIAL CABO PLASTICO,8.06
7702018283231,GILLETE FUSION PROGLIDE,60.16
7791293022536,DES.REXONA SENSITIVE,15.49
650240012914,ASEPXIA GEL CAMUFLAGEM/ SECATIVO,29.13
650240012778,ASEPXIA GEL SECATIVO TRANSPARENTE,28.98
7898415441326,CASEX ALL GEL 85 GRAMAS,69.12
7501001133306,HEAD & SHOULDERS HIDRATACAO 400ML,19.27
7500435112130,HEAD & SHOULDERS REMOCAO OLEOSIDADE 400ML,20.19
7899706113229,ELSERVE CREME /PENTEAR ARGININA 250 ML,9.29
7891010991029,O.B ABS MEDIO C/ 20 UNIDADES,12.31
650240013676,CICATRICURE GEL 30 GRAMAS,48.27
7897000800760,LYSOFORM SPRAY,42.41
7896523219172,XO INSETO POS PICADA CREME 280 GRAMAS,16.05
7891035990137,PRESERV DUREX C/ 3 UNIDADES,3.3
7891035990045,PRESERV DUREX C/ 3,3.46
7896007200320,PRESERV BLOWTEX C/ 3 UNID.-ESPERMICIDA,5.12
7898226050014,EASYTEST TESTE DE GRAVIDEZ UNIDADE,10.19
7898638340611,COMPLEXO B C/100CAPS,37.18
7898904279430,FITA CIRURGICA 50MM X 10 CM,14.37
7898944749474,APAR DE PRESSAO SUPERMEDY PULSO,165.43
7896615100128,INALADOR PULMOSONIC STAR - SONIC,393.31
70330703629,APAR.BIC SENSITIVE,5.39
7501009224174,APAR. GILLETE PRESTOBARBA ULTRAGRIP,9.51
7891051026773,APAR.GILLETE PRESTOBARBA,10.35
7898917294178,GUARANA  500MGC/ 120CAPS,33.19
7898483533077,VITAMINA C 500MG C/60 CAPS,35.19
2040000004002,HIBISCO  FOLHAS,4.02
2002700005024,CHIA SEMENTE,10.19
7899468503122,MELATON C / 60 CAPS,48.08
7898483539116,CURCUMA AÇAFRAO C/CENOURA URUCUM E BETERRABA 60CAPS,49.18
7506339390162,CR D ORAL BPRO S.SENSI ALIVIO 90 GRAMAS,9.39
7891024100431,CR D COLGATE 110G SENSITIVE,14.18
7899706114752,OLEO DE CABELO GARNIER FRUCTIS,20.39
7898483530205,CLORETO DE MAG . P.A. C60 CAPS,32.39
7899682900196,LITEE ACTIFE - Psyllium - Laranj,50.35
7899682900189,LITEE Zzzz - MAÇA E MORANGO C/ MARACUJA,50.41
7899682900295,LITEE Fit Mulher c/ 60 Pellets,121.04
7899682900301,LITEE Fit Homem c/ 60 capsulas g,120.72
7899682900257,LITEE VIT MULHER 60 Comp,36.1
7899682900264,LITEE VIT SENIOR 60 Comp,36.25
7899682900318,LITEE Biotina em capsulas gelati,40.47
7899767266414,LITEE GEL ANTISSEPTICO - 90g / 1,5.5
7896004755526,SUVELAN CR ANTIESTRIAS 180ML,78.59
7897848502321,NATIGLOS PMD 45GR/ RETINOL.COLEC,8.13
7898172353344,VITA CONTROL C/ 100 CAPS,52.12
73796801281,INALADOR OMRON COMPRESSOR,213.05
7898917294215,LECITHIN 700MG C/ 60 CAPS,27.3
70330770126,BIC FOR MEN SENSITIVE 65 GR,10.35
70330770096,BIC FOR MEN REFRESHS 65 GR,10.26
7897947611368,GOICODRAT CR PERNAS 380ML CIMED,52.19
7896292000186,ADOCANTE LOW PLUS C STEVIA LIQU,15.38
7896292040007,ADOCANTE LOW BLENDA C/ SUCRA LIQ,13.08
7897918200249,MEL PURO POTE 300G,28.09
7899470803647,CARDOMARIN 100 ML,50.63
7898276066393,SUPER SLIM X C/ 60 CAPS,29.47
7898994141860,ESCOV. DENTAL UNOCO SUPER MACIA,10.32
7898634470909,ESCOV. DENTAL B PONTEZIA,4.44
7898634470077,ESCOV. DENTAL B PONTEZIA,5
7898940257355,ESCOV. INTERD. CILINDRICA 3 M M,16.62
7898940257379,ESCOV. INTERD. CONICA 3 A 7 M M,16.62
7898940257638,CERA ORTODONTICA,8.32
7897144600028,ESCOV. DENTAL BITUFO,12.45
7897144660800,ESCOV. DENTAL BITUFO DRY,10.34
7899360200242,ESCOV. DENTAL MORANGUINHO,6.21
7899360202321,ESCOV. DENTAL GALINHA PINTADINHA,7.44
7899360200259,ESCOV. DENTAL TURMA DA XUXA,4.8
7899360200228,ESCOV. DENTAL BACKYARDIGANS,4.64
7899360201201,ESCOV. DENTAL PADRINHOS MAGICOS,5.9
7898940257539,ESCOV. DENTAL TELECO TECO,6.27
7899360200235,ESCOV.DENTAL PICA-PAU,5.78
7899360202338,ESCOV.DENTAL PEIXONAUTAS,5.66
7898585291165,ESCOV.DENTAL MUNDO BITA,12.25
7898585291172,ESCOV.DENTAL PORORO,8.19
7898185413721,ESCOV.DENTAL PEPPA PIG C/ CR DENTAL,13.28
7898185413714,ESCOV.DENTAL BATMAM C/ CR DENTAL,13.43
840646003467,ESCOV.DENTAL ELETRICA TECH LINE,44.26
7897144600318,ESCOV.DENTAL COCORICO,7.36
7898585290939,ESCOV.DENTAL TELECO TECO,11.24
4057956,"PRATI -SAL PO 27,9 GR",8.12
7898628100027,ESCOV. DENTAL ORVITAL,17.14
7898628100058,ESCOV. DENTAL ORVITAL,17.46
7898628100065,ESCOV. DENTAL ORVITAL,17.44
7898628100034,ESCOV. DENTAL ORVITAL,17.25
7898628100041,ESCOV. DENTAL ORVITAL,17.06
7898628100010,ESCOV. DENTAL ORVITAL,17.14
8470001508249,ORTHO KIN PASTA DENTAL,30.23
8470003731591,CARIAX ENXAGUE BUCAL,45.42
7891024132654,CR D COLGATE,13.1
7891010586478,LISTERINE ZERO 500ML,17.27
7896258201398,PEDRA HUME RAPOZO 70 GRAMAS,15.48
7896007200276,PRESER.BLOWTEX C/6 UNI-HOT,14.26
7702018118823,APAR.PROBAK II C/ 2 UNID.,6.6
7506339394795,APAR.GILLETE FUSION PROGLIDE,28.44
70330717534,APAR.BIC COMFORT,8.76
70330717565,APAR.BIC COMFORT SENVIVEL,8.47
70330727984,APAR.BIC COMFORT-BLACK NIGHT,8.6
6980410223135,APAR.DE BARB.SECKICH METAL,8.07
7899473600304,LIXA POLIDORA,2.34
7897609900748,TESOURA P/UNHAS CRUZ DE OURO,12.61
6932862531146,TESOURA P/UNHAS RIS,10.48
3932822652426,TESOURA P/UNHAS RIS OU CORTADOR DE UNHAS,10.57
1932022652358,TESOURA P/UNHAS RIS,10.32
7896246000651,SAB.NATURAL ORGANICO 80GR.,11.15
7898217646509,SAB.DE ENXOFRE 90 GR,4.08
7891134007255,SAB.BIOCREMAMARINE 90 GRAMAS,2.61
7896902201316,SAB.HIDRADERM ERVA DOCE 100 GR.,6.68
7896090405657,SAB.HYDRATA  90 GRAMAS,3.49
8480017160652,SAB. BONTE AMENDOAS & MEL 90 GR.,2.01
8480017160645,SAB. BONTE CEDRO PATCHOULI 90 GR.,1.97
7891772155295,BARRA KOBBER-CAST. TROPICAL/CHOCOLATE,2.12
7891772155288,BARRA KOBBER-BANANA LIGHT,2.15
7896292001442,ADOCANTE MAGRO 100ML,4.34
7896292001459,ADOCANTE MAGRO 200ML,8.58
7896292000087,ADOCANTE LOWÇUCAR PLUS C/ 50 ENVELOPES,13.35
7891772155622,KOBBER -QUINOA -GRAOS  130GR,9.04
7891772155592,KOBBER -SEMENTES DE LINHAÇA DOURADA 120 GR,4.97
7891772155585,KOBBER -SEMENTES DE LINHAÇA MARRON 120GR,6.09
7891772144091,KOBBER -GRANOLA/CACAU LIHGT 250GR,7.38
7891010007263,LOÇAO-JOHNSON & JOHNSON-ANTI MOSQUITO 100 ML,13.33
7898456758377,BABYMED COLONIA-CHEIRINHO GOSTOSO 100ML,10.5
7898456758353,BABYMED LOÇAO HIDRATANTE 150ML,12.37
7898302727311,COND.NEO KIDS INFANTIL 170ML,6.01
7898456758384,BABYMED COLONIA-SONINHO BOM 100ML,10.54
7891010099732,SAB. JOHNSO &JOHNSON-BABY/MILK,3.42
7891010944636,SAB. JOHNSO &JOHNSON-BABY/HORA DE BRINCAR,3.08
7898483537464,SAL ROSA DO HIMALAIA 500 GRAMAS,33.13
7898573370520,LENÇO UMEDECIDOS TOP CLEAN C/ 70 UNIDADES,3.13
7896010101201,LENÇO UMEDECIDOS BABY POPPY C/ 75 UNIDADES,3.7
7898573370568,LENÇO UMEDECID TOP CLEAN C/ 400 UNIDADES,7.42
7898573370544,LENÇO UMEDECIDOS TOP CLEN  BALDE C/ 400 UNIDADES,10.28
7898268962405,LENÇO UMEDECIDOS JOE BABY C/ 450 UNIDADES,14.99
7891301020421,CHUPETA BABYGO 2042,11.4
7891301019050,CHUPETA BABYGO 01905,9.1
7891301017872,CHUPETA BABYGO 01787,11.27
7891301019043,CHUPETA BABYGO 01904,11
7891301018411,CHUPETA BABYGO 01841,9.15
7891301020452,CHUPETA BABYGO 02045,9.4
7891301023484,CHUPETA DYSNEY -02348,22.51
7891301019562,CHUPETA DYSNEY -01956,13.58
7891301015267,CHUPETA PIXAR-01526,22.18
7896982907900,BICO DE MAMADEIRA-SUPER / PEPETA,13.08
7896381309527,CHUPETA PITUCA REF: 952AZ,8.15
7896381300623,CHUPETA PITUCA REF:941AZ,8.64
7896381300500,CHUPETA PITUCA REF:970AZ,7.98
7896381300791,CHUPETA PITUCA REF:360RS,9.05
7896381300814,CHUPETA PITUCA REF:361RS,8.58
7896381300470,CHUPETA PITUCA REF:351RS,8.2
7896381300555,CHUPETA PITUCA REF:960RS,8.65
7896381300678,CHUPETA PITUCA REF:980RS,10.02
7891024027325,PROTEX REFIL -ERVA DOCE 200ML,8.39
7898024395232,NUTELLA 140GRAMAS,7.98
7896381300715,CHUPETA PITUCA REF:981RS,8.3
7896381300425,CHUPETA PITUCA REF:815AZ,8.69
7896381306342,MORDEDOR PITUCA -REF:006RS,6.47
7897144600967,ESCOV. DEN. MASSAG.COCORICO,10.12
381519183386,COND. AUSSIE 7N1,25.12
7896381300067,MAMADEIRA PITUCA 280ML,23.12
7896381300111,MAMADEIRA PITUCA 240ML,25.3
7896381325312,MAMADEIRA PITUCA 240 ML,21.35
7898139871386,MAMADEIRA NEW BABY,8.05
7898139872178,MAMADEIRA NEW BABY,10.09
7898179462230,MAMADEIRA MAMITA,10.28
7898139872567,CHUQUINHA NEW BABY,12.96
7896033231367,COLHER DE SILICONE LILLO,19.75
7899403200062,COLHER MAXI BABY,19.57
7896699019989,TIRA LEITE LOLLY 70ML,25
7898362220012,PENTE ESCOVA RCA,7.25
7896381306229,CONJ.DE ESCOVAS PITUCA,12.32
7896982903063,ASPIRADOR NASAL PEPETA,10.47
7899691401318,CHUPETA TIMES-SANTOS,12.26
7896699011662,PROTETOR DE SEIOS LOLLY,15.01
7898336430720,JOELHEIRA LISA CURTA HIDROLIGHT  TAM-MEDIO,29.46
7898336432397,JOEL.C/MOLAS FLEX. AJUS. HIDROLIGHT,112.38
7898336430621,JOELHEIRA C/ REFORÇO PATELAR HIDROLIGHT  TAM-PEQUENO,32.09
7898336430645,JOELHEIRA LISA CURTA HIDROLIGHT  TAM-GRANDE,32.48
7898060099996,COLETOR UNIVERSAL ESTERELIZAVEL,1.95
7896902211742,GLICERINA BI-DESTILADA  30 ML,3.71
7896902211841,VASELINA SOLIDA MEDICAMENTO 25G,3.79
7896902211889,VASELINA SOLIDA MEDICAMENTO 60G,17.45
7898336433240,TORNOZELEIRA C/ ZIPER HIDROLIGHT TAM -GG,33.05
7898336433226,TORNOZELEIRA C/ ZIPER HIDROLIGHT TAM -M,33.27
7898336430836,TORNOZELEIRA HIDROLIGHT TAM -M,29.48
7898415012915,ADESIVO PODOGEL P/PROTEÇAO DO TENDAO,26.69
7898336435244,PROTETOR P/ PUNHO TAM :EG,15.4
7898336431765,ORTOSE C/ TALA 3TIRAS ESQUERDA HIDROLIGHT,37.46
7898336430744,COTOVELEIRA AJUSTAVEL TAM: UNICO,28.03
7898336433141,MUNHEQUEIRA CONFORT DIREITA TAM:PP P,38.03
